"Subject","Location","Object"
71,316.653846153846,355.923076923077
72,364.560606060606,384.545454545455
73,348.556962025316,408.753846153846
74,347.455696202532,366.774647887324
75,335.390243902439,367.675675675676
76,343.932432432432,360.926470588235
77,321.934210526316,369.092307692308
78,308.21686746988,341.884615384615
79,297.358974358974,366.7375
80,317.686746987952,337.207317073171
81,297.395061728395,383.026666666667
82,275.721518987342,343.4625
83,335.661290322581,386.308823529412
84,345.269230769231,368.539473684211
85,300.769230769231,378
86,397.076923076923,399.58064516129
87,331.55223880597,411.796875
88,281.271604938272,338.566265060241
89,279.41975308642,354.658227848101
90,307.060975609756,355.172839506173
91,315.793650793651,366.052631578947
92,341.828571428571,360.986486486487
93,314.480519480519,370.604938271605
95,304.675,369.236842105263
96,303.974025974026,362.226666666667
